name,ticker,sentiment_score,_match_key,reglementary_score,dependance_score,recommandation
Nvidia,NVDA,0.583875,symbol,High,Moderate,"Article 7 paragraph 4 bis requires disclosure of ranking parameters for consumer search results, impacting NVIDIA's AI and data center products. Article 6 bis paragraph 1 requires disclosures around third-party seller information on online marketplaces, potentially affecting NVIDIA's gaming ecosystem. Significant reliance on suppliers in Taiwan, South Korea and China for components and manufacturing. Reduce exposure to NVDA given high regulatory risk from EU directives impacting core AI/data center and gaming businesses. Consider alternatives like AMD or Intel with lower regulatory risk exposure."
Microsoft,MSFT,0.480025,symbol,High,Low,"Article 7 paragraph 4 bis on disclosure of search ranking parameters impacts Microsoft's Bing search engine and advertising business. Article 6 bis paragraph 1 on online marketplace disclosures is relevant for Microsoft's gaming/app stores. Microsoft has a diversified global supply chain and operations. Reduce MSFT exposure due to high regulatory risk from EU directives impacting search, advertising and online marketplace businesses. Alternatives like Oracle or IBM may have lower risk."
"Apple Inc,",AAPL,0.5393875,symbol,Moderate,High,"Article 6 bis paragraph 1 on online marketplace disclosures is relevant for Apple's App Store. However, Apple's core hardware business faces relatively lower regulatory risk. Highly dependent on suppliers in China and other Asian countries for manufacturing and components. Maintain AAPL position but monitor for supply chain disruption risks given high dependence on Chinese suppliers. Consider lowering exposure if US-China tensions escalate."
Amazon,AMZN,0.602475,symbol,High,Moderate,"Article 6 bis paragraph 1 on online marketplace disclosures directly impacts Amazon's e-commerce platform. Article 3 paragraph 1 bis extends directive to digital services/content involving consumer data, affecting Amazon's cloud/streaming businesses. While Amazon has a global supply chain, it is likely optimized for its core e-commerce operations. Reduce AMZN exposure due to very high regulatory risk from multiple EU directive provisions impacting e-commerce, cloud and digital media segments."
Meta Platforms,META,0.5182,symbol,Moderate,Low,"Article 6 bis paragraph 1 on online marketplace disclosures is somewhat relevant for Meta's app stores and VR/AR ecosystems, but core advertising business faces lower risk. Meta has a diversified supply chain for its consumer hardware and infrastructure needs. Maintain position in META as regulatory risk is moderate. Monitor for any expansion of EU rules around advertising practices."
Broadcom,AVGO,0.530325,symbol,Low,Moderate,"As a semiconductor and infrastructure software company, Broadcom faces relatively low direct regulatory risk from the EU consumer directives. Broadcom likely has some supplier exposure to China and other Asian countries for its semiconductor manufacturing operations. Maintain position in AVGO as regulatory risk is low. Monitor for potential supply chain disruptions due to geopolitical tensions."
"Alphabet Inc, (Class A)",GOOGL,0.6200125,symbol,High,Low,"Article 7 paragraph 4 bis on disclosure of search ranking parameters directly impacts Google's core search business. Article 6 bis paragraph 1 on online marketplace disclosures affects Google's app stores and shopping platforms. Alphabet has a diversified global supply chain and operations. Reduce exposure to GOOGL due to high regulatory risk from EU directives targeting Google's search, advertising and e-commerce businesses. Consider alternatives like Microsoft or Amazon with relatively lower risk."
"Alphabet Inc, (Class C)",GOOG,0.5674375,symbol,High,Low,Same justification as GOOGL - high risk from EU rules around search rankings and online marketplaces. Same as GOOGL. Same as GOOGL - reduce exposure.
"Tesla, Inc,",TSLA,0.5619,symbol,Low,High,"As an automotive and energy company, Tesla faces relatively low direct risk from the EU consumer directives. Tesla is highly dependent on suppliers, likely including single-source suppliers in China, for EV components and manufacturing. Maintain position but closely monitor for supply chain disruptions given Tesla's dependence on Chinese suppliers. Consider reducing exposure if US-China tensions escalate."
Berkshire Hathaway,"BRK,B",0.59985,symbol,,,
JPMorgan Chase,JPM,0.5541,symbol,Low,Low,"As a financial services company, JPMorgan faces low direct regulatory risk from the EU consumer directives. JPMorgan has a diversified global operating footprint and supply chain. Maintain position in JPM as both regulatory and dependence risks are low."
Walmart,WMT,0.504325,symbol,Moderate,High,"Article 23 ter prohibiting misleading claims about product reviews is relevant for Walmart's e-commerce operations. However, overall regulatory risk is moderate for Walmart's diversified retail business. Significant reliance on suppliers in China and other countries for merchandise and components. Maintain position but monitor for supply chain risks due to high supplier dependence, especially in China. Consider reducing exposure if geopolitical tensions disrupt supply chains."
Oracle Corporation,ORCL,0.596125,symbol,Low,Moderate,"As an enterprise software and cloud services provider, Oracle faces relatively low direct risk from the EU consumer directives. Oracle likely has some dependence on Asian suppliers for hardware manufacturing and components. Maintain position in ORCL as regulatory risk is low. Monitor for potential supply chain disruptions."
"Visa Inc,",V,0.5051375,symbol,Low,Low,"As a payments technology company, Visa faces relatively low direct regulatory risk from the EU consumer directives. Visa has a diversified global footprint and likely diversified supply chain for its services-oriented business model. Maintain position in V as both regulatory and dependence risks are low."
Lilly (Eli),LLY,0.5495625,symbol,Low,Moderate,"As a pharmaceutical company, Lilly faces relatively low direct regulatory risk from the EU consumer directives. Lilly likely has some dependence on international suppliers for raw materials and manufacturing of pharmaceutical products. Maintain position in LLY. Monitor for potential supply chain disruptions but overall risk is relatively low."
Mastercard,MA,0.5225500000000001,symbol,Low,Low,"As a payments technology company like Visa, Mastercard faces relatively low direct regulatory risk from the EU consumer directives. Mastercard has a diversified global footprint and services-oriented business model with likely low supply chain dependence. Maintain position in MA as both regulatory and dependence risks are low."
Netflix,NFLX,0.4471,symbol,Low,Low,"As a streaming entertainment provider, Netflix faces relatively low direct regulatory risk from the EU consumer directives. Netflix's business model as a streaming service provider likely has low supply chain dependence. Maintain position in NFLX as both regulatory and dependence risks are low."
ExxonMobil,XOM,0.555525,symbol,Low,High,"As an integrated oil and gas company, ExxonMobil faces relatively low direct regulatory risk from the EU consumer directives. ExxonMobil has significant global operations and likely high dependence on suppliers across its supply chain for exploration, production, refining and distribution activities. Maintain position but monitor for supply chain disruption risks given ExxonMobil's complex global supply chain and operations."
Costco,COST,0.4233875,symbol,Moderate,High,"Article 23 ter prohibiting misleading claims about product reviews is relevant for Costco's e-commerce and retail operations. However, overall risk is moderate. Costco likely has high dependence on suppliers across the globe, including China, for its merchandise sourcing and supply chain. Maintain position but closely monitor supply chain risks, especially related to China sourcing. Consider reducing exposure if geopolitical tensions escalate."
Palantir Technologies,PLTR,0.5867875,symbol,Low,Low,"As a data analytics software provider, Palantir faces relatively low direct regulatory risk from the EU consumer directives. Palantir's software business model likely has low supply chain dependence. Maintain position in PLTR as both regulatory and dependence risks are low."
Johnson & Johnson,JNJ,0.548225,symbol,Low,Moderate,"As a healthcare company focused on pharmaceuticals and medical devices, J&J faces relatively low direct regulatory risk from the EU consumer directives. J&J likely has some dependence on international suppliers for raw materials and manufacturing given its global operations. Maintain position in JNJ. Monitor for potential supply chain disruptions but overall risk is relatively low."
Home Depot (The),HD,0.5206,symbol,Low,High,"As a home improvement retailer, Home Depot faces relatively low direct regulatory risk from the EU consumer directives. Home Depot likely has significant dependence on suppliers in China and other countries for its merchandise sourcing and supply chain. Maintain position but closely monitor supply chain risks related to China sourcing. Consider reducing exposure if geopolitical tensions escalate."
