name,ticker,sentiment_score,_match_key,reglementary_score,dependance_score,recommandation
Nvidia,NVDA,0.472325,symbol,Low,Low,
Microsoft,MSFT,0.5807125,symbol,Moderate,Low,"Microsoft may benefit from increased federal incentives for investments in cloud computing, AI, and clean energy technologies, as outlined in sections related to the Greenhouse Gas Reduction Fund and clean hydrogen production facilities. Consider increasing exposure to Microsoft as it may benefit from the regulatory measures promoting clean energy and emissions reduction technologies."
"Apple Inc,",AAPL,0.6066875,symbol,Low,Low,
Amazon,AMZN,0.4890124999999999,symbol,Moderate,Low,"Amazon's cloud computing division (AWS) may benefit from increased federal incentives for investments in cloud computing and clean energy technologies, as outlined in sections related to the Greenhouse Gas Reduction Fund and clean hydrogen production facilities. Consider increasing exposure to Amazon as its cloud computing division may benefit from the regulatory measures promoting clean energy and emissions reduction technologies."
Meta Platforms,META,0.62175,symbol,Low,Low,
Broadcom,AVGO,0.5540875000000001,symbol,Low,Low,
"Alphabet Inc, (Class A)",GOOGL,0.74715,symbol,Moderate,Low,"Alphabet's cloud computing division (Google Cloud Platform) may benefit from increased federal incentives for investments in cloud computing and clean energy technologies, as outlined in sections related to the Greenhouse Gas Reduction Fund and clean hydrogen production facilities. Consider increasing exposure to Alphabet as its cloud computing division may benefit from the regulatory measures promoting clean energy and emissions reduction technologies."
"Alphabet Inc, (Class C)",GOOG,0.6711125,symbol,Moderate,Low,"Alphabet's cloud computing division (Google Cloud Platform) may benefit from increased federal incentives for investments in cloud computing and clean energy technologies, as outlined in sections related to the Greenhouse Gas Reduction Fund and clean hydrogen production facilities. Consider increasing exposure to Alphabet as its cloud computing division may benefit from the regulatory measures promoting clean energy and emissions reduction technologies."
"Tesla, Inc,",TSLA,0.514275,symbol,Moderate,High,"Tesla may benefit from increased federal incentives for investments in clean energy technologies, as outlined in sections related to the Greenhouse Gas Reduction Fund and clean hydrogen production facilities. Tesla's business model is heavily dependent on government incentives and regulations related to electric vehicles and clean energy technologies. Consider maintaining or increasing exposure to Tesla as it may benefit from the regulatory measures promoting clean energy and emissions reduction technologies, but monitor the company's dependence on government incentives and regulations."
Berkshire Hathaway,"BRK,B",0.6137625,symbol,,,
JPMorgan Chase,JPM,0.5987625,symbol,Low,Low,
Walmart,WMT,0.476175,symbol,Low,Low,
Oracle Corporation,ORCL,0.533325,symbol,Low,Low,
"Visa Inc,",V,0.5818875,symbol,Low,Low,
Lilly (Eli),LLY,0.5444249999999999,symbol,High,Moderate,"Eli Lilly will be directly impacted by the provisions related to the Medicare Part D redesign, manufacturer discount programs, and inflation rebates for certain drugs. These measures aim to lower out-of-pocket costs for Medicare beneficiaries but may reduce revenues for pharmaceutical companies like Eli Lilly. A significant portion of Eli Lilly's revenue is derived from Medicare and government-funded healthcare programs, making it moderately dependent on these regulatory frameworks. Consider reducing exposure to Eli Lilly and other pharmaceutical companies that may face significant revenue pressures from the regulatory changes related to Medicare Part D and inflation rebates."
Mastercard,MA,0.5662625,symbol,Low,Low,
Netflix,NFLX,0.6385000000000001,symbol,Low,Low,
